layer, FSRAM required per lane (bytes), ISRAM required per lane (bytes),,,,,,,,,,,,,,,,,,,,,,,,
Conv1,363,22473,,,,,,,,,,,,,,,,,,,,,,,,
Conv2,2400,52800,,,,,,,,,,,,,,,,,,,,,,,,
Conv3,2304,20736,,,,,,,,,,,,,,,,,,,,,,,,
Conv4,3456,14976,,,,,,,,,,,,,,,,,,,,,,,,
Conv5,3456,14976,,,,,,,,,,,,,,,,,,,,,,,,
max,3456,52800,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
layer,round,phase,run cycles,filter stalls,IF stalls,MACops,ISRAM read (bytes),FSRAM read (bytes),ISRAM write (bytes),FSRAM write (bytes),DRAM read (bytes), DRAM write (bytes),h lanes, v lanes, isram read energy(pJ), fsram read energy (pJ), isram write energy(pJ), fsram write energy (pJ), dram read energy (pJ), dram write energy (pJ), mac op energy (pJ), energy (pJ), start cycle offset,ISRAM write preload (bytes), ISRAM write preload energy (pJ),
Conv1,0,27,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,9801,33792,244549.3248,
Conv1,0,28,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,10164,33792,244549.3248,
Conv1,0,29,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,10527,33792,244549.3248,
Conv1,0,30,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,10890,33792,244549.3248,
Conv1,0,31,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,11253,33792,244549.3248,
Conv1,0,32,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,11616,33792,244549.3248,
Conv1,0,33,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,11979,33792,244549.3248,
Conv1,0,34,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,12342,33792,244549.3248,
Conv1,0,35,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,12705,33792,244549.3248,
Conv1,0,36,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,13068,33792,244549.3248,
Conv1,0,37,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,13431,33792,244549.3248,
Conv1,0,38,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,13794,33792,244549.3248,
Conv1,0,39,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,14157,33792,244549.3248,
Conv1,0,40,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,14520,33792,244549.3248,
